Freq.,V(e1)/I(V1)
1000.0,"(1.27591482121649e+02dB,9.01136464162057e+01°)"
1001.52201911367,"(1.27578272074485e+02dB,9.01134738241150e+01°)"
1003.04635476951,"(1.27565062020544e+02dB,9.01133017429011e+01°)"
1004.57301049337,"(1.27551851979890e+02dB,9.01131295166501e+01°)"
1006.10198981641,"(1.27538641892963e+02dB,9.01129578472917e+01°)"
1007.63329627521,"(1.27525431838966e+02dB,9.01127862387540e+01°)"
1009.16693341171,"(1.27512221794208e+02dB,9.01126148707673e+01°)"
1010.70290477324,"(1.27499011707119e+02dB,9.01124438638718e+01°)"
1012.24121391254,"(1.27485801669071e+02dB,9.01122731383276e+01°)"
1013.78186438776,"(1.27472591621693e+02dB,9.01121027143834e+01°)"
1015.32485976244,"(1.27459381528766e+02dB,9.01119323078552e+01°)"
1016.87020360558,"(1.27446171490249e+02dB,9.01117622436495e+01°)"
1018.41789949159,"(1.27432961431204e+02dB,9.01115926714179e+01°)"
1019.96795100031,"(1.27419751386700e+02dB,9.01114231554244e+01°)"
1021.52036171706,"(1.27406541328606e+02dB,9.01112539968509e+01°)"
1023.07513523259,"(1.27393331220463e+02dB,9.01110851492402e+01°)"
1024.63227514313,"(1.27380121176693e+02dB,9.01109163175566e+01°)"
1026.19178505038,"(1.27366911132766e+02dB,9.01107478887560e+01°)"
1027.75366856151,"(1.27353701087037e+02dB,9.01105798667858e+01°)"
1029.31792928921,"(1.27340491002714e+02dB,9.01104117584469e+01°)"
1030.88457085162,"(1.27327280958918e+02dB,9.01102440796435e+01°)"
1032.45359687244,"(1.27314070866365e+02dB,9.01100768103152e+01°)"
1034.02501098086,"(1.27300860779706e+02dB,9.01099095524181e+01°)"
1035.59881681158,"(1.27287650747521e+02dB,9.01097427396508e+01°)"
1037.17501800485,"(1.27274440679738e+02dB,9.01095761831063e+01°)"
1038.75361820647,"(1.27261230614118e+02dB,9.01094097755521e+01°)"
1040.33462106777,"(1.27248020540765e+02dB,9.01092436450321e+01°)"
1041.91803024565,"(1.27234810450613e+02dB,9.01090776312418e+01°)"
1043.50384940256,"(1.27221600403690e+02dB,9.01089119655405e+01°)"
1045.09208220653,"(1.27208390331467e+02dB,9.01087466362524e+01°)"
1046.68273233119,"(1.27195180283781e+02dB,9.01085816390375e+01°)"
1048.27580345574,"(1.27181970201537e+02dB,9.01084166400073e+01°)"
1049.87129926499,"(1.27168760119100e+02dB,9.01082520726160e+01°)"
1051.46922344937,"(1.27155550093243e+02dB,9.01080876687916e+01°)"
1053.06957970489,"(1.27142339976221e+02dB,9.01079233935895e+01°)"
1054.67237173322,"(1.27129129912705e+02dB,9.01077595322360e+01°)"
1056.27760324165,"(1.27115919870137e+02dB,9.01075961582449e+01°)"
1057.88527794312,"(1.27102709796019e+02dB,9.01074325860708e+01°)"
1059.49539955622,"(1.27089499707027e+02dB,9.01072694267584e+01°)"
1061.1079718051801,"(1.27076289647096e+02dB,9.01071064966560e+01°)"
1062.72299841993,"(1.27063079569075e+02dB,9.01069439366740e+01°)"
1064.34048313606,"(1.27049869503512e+02dB,9.01067814794502e+01°)"
1065.96042969484,"(1.27036659436769e+02dB,9.01066193301586e+01°)"
1067.58284184325,"(1.27023449366233e+02dB,9.01064574807859e+01°)"
1069.20772333396,"(1.27010239309957e+02dB,9.01062958298877e+01°)"
1070.83507792535,"(1.26997029199001e+02dB,9.01061344781424e+01°)"
1072.46490938154,"(1.26983819152080e+02dB,9.01059732322006e+01°)"
1074.09722147235,"(1.26970609100080e+02dB,9.01058123003443e+01°)"
1075.73201797337,"(1.26957398998457e+02dB,9.01056517339471e+01°)"
1077.36930266591,"(1.26944188930903e+02dB,9.01054911575482e+01°)"
1079.00907933704,"(1.26930978826014e+02dB,9.01053308850485e+01°)"
1080.65135177961,"(1.26917768765274e+02dB,9.01051709659789e+01°)"
1082.29612379223,"(1.26904558684277e+02dB,9.01050112694814e+01°)"
1083.94339917929,"(1.26891348619109e+02dB,9.01048517961047e+01°)"
1085.59318175097,"(1.26878138517978e+02dB,9.01046926027092e+01°)"
1087.24547532326,"(1.26864928448468e+02dB,9.01045336174362e+01°)"
1088.90028371795,"(1.26851718377689e+02dB,9.01043748136710e+01°)"
1090.55761076265,"(1.26838508286547e+02dB,9.01042164530540e+01°)"
1092.21746029078,"(1.26825298230597e+02dB,9.01040581756680e+01°)"
1093.87983614162,"(1.26812088160770e+02dB,9.01039001875005e+01°)"
1095.54474216028,"(1.26798878071992e+02dB,9.01037422712412e+01°)"
1097.21218219773,"(1.26785667975744e+02dB,9.01035849327052e+01°)"
1098.88216011078,"(1.26772457915040e+02dB,9.01034276060919e+01°)"
1100.55467976214,"(1.26759247815907e+02dB,9.01032705001403e+01°)"
1102.22974502037,"(1.26746037747792e+02dB,9.01031136845325e+01°)"
1103.90735975994,"(1.26732827687813e+02dB,9.01029571291792e+01°)"
1105.58752786121,"(1.26719617600367e+02dB,9.01028008851674e+01°)"
1107.27025321045,"(1.26706407486707e+02dB,9.01026449120783e+01°)"
1108.95553969983,"(1.26693197439760e+02dB,9.01024889854688e+01°)"
1110.64339122746,"(1.26679987347576e+02dB,9.01023332746710e+01°)"
1112.33381169737,"(1.26666777256189e+02dB,9.01021779306994e+01°)"
1114.02680501955,"(1.26653567186653e+02dB,9.01020228570454e+01°)"
1115.72237510993,"(1.26640357082503e+02dB,9.01018679084932e+01°)"
1117.42052589039,"(1.26627147014282e+02dB,9.01017132270616e+01°)"
1119.1212612888,"(1.26613936917520e+02dB,9.01015588033282e+01°)"
1120.82458523899,"(1.26600726878470e+02dB,9.01014046393864e+01°)"
1122.53050168079,"(1.26587516762448e+02dB,9.01012505911378e+01°)"
1124.23901456002,"(1.26574306666060e+02dB,9.01010969082306e+01°)"
1125.95012782851,"(1.26561096563464e+02dB,9.01009434508949e+01°)"
1127.6638454441,"(1.26547886514764e+02dB,9.01007900511256e+01°)"
1129.38017137066,"(1.26534676416077e+02dB,9.01006371435062e+01°)"
1131.09910957808,"(1.26521466324962e+02dB,9.01004843436569e+01°)"
1132.82066404231,"(1.26508256223735e+02dB,9.01003317165390e+01°)"
1134.54483874534,"(1.26495046133287e+02dB,9.01001793578923e+01°)"
1136.27163767522,"(1.26481836082710e+02dB,9.01000272778535e+01°)"
1138.00106482607,"(1.26468625971613e+02dB,9.00998752504177e+01°)"
